Category Title,Category URL,Subcategory Title,Subcategory URL,View More Exists,View More URL,Article Count
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,A/D Converter,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30945,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30945,8
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Battery backup function,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/33204,False,,1
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Boundary Scan,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30946,False,,2
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Capacitive Touch,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30929,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30929,78
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Clock Generation Circuit,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30947,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30947,22
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,CPU,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30948,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30948,24
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,"Data Transfer (DMAC, DTC, Others)",https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30949,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30949,16
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Electrical Characteristics,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/33203,False,,2
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Ethernet,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30950,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30950,6
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Exception Handling,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30951,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30951,6
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,External Bus,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30952,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30952,12
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Flash Memory,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30953,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30953,48
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Frequency Measurement Circuit,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30954,False,,1
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,RX Hardware,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/32769,False,,2
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,I/O Port,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30955,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30955,15
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,I/O Register,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30956,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30956,6
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,I2C-bus Interface (RIIC),https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30957,False,,1
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Interrupt controller,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30958,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30958,13
RX Family,https://en-support.renesas.com/knowledgeBase/category/30942,Low Power Consumption,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30959,True,https://en-support.renesas.com/knowledgeBase/category/30942/subcategory/30959,24
